Name,Id,DisplayName,Rarity,Weight,FlavorNote
DrownedBook,DrownedBook,"A Drowned Book",Common,16,"Still legible underwater. The ink learned to swim."
BottledTide,BottledTide,"A Bottled Tide",Rare,7,"Hold it to your ear and the library is still drowning."
PearlOfPages,PearlOfPages,"The Pearl of Pages",Legendary,2,"Every book that was ever lost, pressed into one bead."
BrassGear,BrassGear,"A Brass Gear",Common,16,"It turns nothing now, and turns it perfectly."
InfiniteWatch,InfiniteWatch,"The Infinite Watch",Rare,7,"Always reads 'soon'."
DustmoteOrrery,DustmoteOrrery,"A Dustmote Orrery",Legendary,2,"The motes orbit a sun I can't see. They keep good time."
FallenStar,FallenStar,"A Fallen Star",Common,16,"Cool to the touch. It apologised for the dark."
VoidCompass,VoidCompass,"The Void Compass",Rare,7,"Points to wherever you are not."
SingingComet,SingingComet,"A Singing Comet",Legendary,2,"One note, held since before there was air to hear it."
UpsideSpoon,UpsideSpoon,"An Upside-Down Spoon",Common,16,"It stirs the ceiling. The ceiling doesn't mind."
RecursiveRecipe,RecursiveRecipe,"A Recursive Recipe",Rare,7,"Step one: prepare the dish from step one."
SauceThatDreams,SauceThatDreams,"The Sauce That Dreams",Legendary,2,"A spoonful of the thing behind the door. It's looking back."
